60 62
794.0 577.0 
814.0 616.0 
767.0 611.0 
720.0 617.0 
722.0 669.0 
707.0 718.0 
758.0 738.0 
758.0 768.0 
694.0 767.0 
633.0 777.0 
571.0 795.0 
509.0 812.0 
441.0 810.0 
381.0 787.0 
334.0 751.0 
301.0 709.0 
260.0 672.0 
214.0 642.0 
151.0 648.0 
119.0 689.0 
113.0 740.0 
77.0 777.0 
36.0 745.0 
9.0 694.0 
0.0 632.0 
7.0 579.0 
31.0 538.0 
85.0 507.0 
146.0 493.0 
205.0 499.0 
254.0 530.0 
287.0 477.0 
301.0 418.0 
335.0 368.0 
378.0 332.0 
424.0 299.0 
439.0 246.0 
446.0 195.0 
427.0 141.0 
409.0 92.0 
411.0 39.0 
458.0 76.0 
502.0 104.0 
553.0 101.0 
557.0 52.0 
554.0 0.0 
599.0 27.0 
600.0 78.0 
633.0 117.0 
675.0 147.0 
713.0 182.0 
734.0 229.0 
764.0 272.0 
728.0 309.0 
676.0 330.0 
674.0 385.0 
689.0 433.0 
703.0 480.0 
722.0 525.0 
745.0 569.0 
695.9 266.5 
667.4 215.0 
70.7 671.3 
73.0 613.6 
502.6 161.4 
575.5 148.5 
110.4 571.4 
165.8 572.7 
650.9 701.5 
665.7 641.7 
674.9 573.4 
652.2 507.6 
635.8 448.3 
218.8 569.8 
274.5 600.7 
317.0 648.5 
359.1 696.1 
411.2 737.4 
501.6 229.7 
551.3 199.6 
613.4 192.5 
630.1 269.1 
564.2 255.0 
495.3 289.7 
469.4 759.9 
525.1 743.1 
589.1 730.6 
307.6 536.7 
338.9 588.3 
376.6 633.3 
414.5 678.1 
469.3 694.3 
538.0 686.7 
601.2 667.2 
441.6 624.8 
497.9 644.7 
553.8 625.2 
615.8 608.4 
615.7 551.2 
402.1 572.9 
359.6 532.9 
343.6 475.4 
356.6 420.2 
560.4 565.9 
499.2 588.5 
581.2 499.2 
455.8 549.9 
514.1 529.0 
406.2 504.7 
405.3 448.6 
400.7 384.3 
453.6 356.6 
465.3 475.1 
453.5 415.2 
526.5 470.8 
573.2 434.7 
615.6 394.9 
620.7 338.8 
567.4 312.1 
563.7 371.5 
512.3 345.5 
513.9 410.6 
0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
